t,stability_S,energy_margin_E,raw_risk,risk_control_R,goal_alignment_G,correction_cost_C,variance_V,uncertainty_U,weight_stability_Ws,weight_energy_We,weight_risk_Wr,weight_goal_Wg,mission_control_score,control_state,control_action,control_state_number
152,0.23949600304491794,0.43714880917320365,0.5895383067132471,0.41046169328675286,0.5869747171466708,0.6733049961435679,0.1738681627505152,0.7044947823528349,0.2608695652173913,0.23478260869565218,0.26956521739130435,0.23478260869565218,0.1620782235094232,recover,recovery_maneuver,1
153,0.25831222478942173,0.4875374058426897,0.5864214117506659,0.41357858824933413,0.6037821165657559,0.6584184803237396,0.17768788139349007,0.6874488891049957,0.3092783505154639,0.18556701030927833,0.31958762886597936,0.18556701030927833,0.16428325874759542,recover,recovery_maneuver,1
154,0.256829378251963,0.4695439809751964,0.5739688589882506,0.42603114101174944,0.6222669006459101,0.6487824114330786,0.16488523795441243,0.6586499063820935,0.3092783505154639,0.18556701030927833,0.31958762886597936,0.18556701030927833,0.16914903540539866,recover,recovery_maneuver,1
155,0.22964117881658355,0.433718543863821,0.5586285879191737,0.4413714120808263,0.664016363823295,0.658066798228226,0.1493245956602805,0.6216589180941383,0.28301886792452824,0.25471698113207547,0.29245283018867924,0.16981132075471697,0.1717980384860333,recover,recovery_maneuver,1
156,0.2931468872693222,0.40530561408611965,0.619850739511243,0.38014926048875697,0.6236095527065761,0.6902179000155443,0.15758851443428773,0.6690390325052498,0.28301886792452824,0.25471698113207547,0.29245283018867924,0.16981132075471697,0.16023074123156159,recover,recovery_maneuver,1
157,0.2583516094471906,0.4546404972890228,0.5989264033541768,0.4010735966458232,0.6448847118679131,0.6524456991367995,0.17494076767406327,0.678927470406457,0.3092783505154639,0.18556701030927833,0.31958762886597936,0.18556701030927833,0.16443124665225595,recover,recovery_maneuver,1
158,0.2177138566266938,0.4225096207448447,0.561239512558613,0.43876048744138696,0.6471043429514807,0.6604851613414819,0.1650905166775144,0.6545653362185652,0.28301886792452824,0.25471698113207547,0.29245283018867924,0.16981132075471697,0.16428093864836607,abort,safe_stop,0
159,0.265866379200769,0.4413451320435172,0.5561169690481257,0.4438830309518743,0.6787638027796087,0.655839985127245,0.16401672302842568,0.6605379502480955,0.28301886792452824,0.25471698113207547,0.29245283018867924,0.16981132075471697,0.1744641427810713,recover,recovery_maneuver,1
160,0.2279767361417282,0.385070393948691,0.5737662576609683,0.42623374233903166,0.7135964537614821,0.6768735095108969,0.15673600591122624,0.6742511207140843,0.28301886792452824,0.25471698113207547,0.29245283018867924,0.16981132075471697,0.1628622024401076,recover,recovery_maneuver,1
161,0.2758090823787809,0.397918574722959,0.6162792137886292,0.38372078621137085,0.6609575981329937,0.6737684426085114,0.18126562613094926,0.6885035013743825,0.28301886792452824,0.25471698113207547,0.29245283018867924,0.16981132075471697,0.1587844070891585,recover,recovery_maneuver,1
